v1,v2
HAM,ايراد در تنظيمات اينترنت منشي
HAM,ايراد در Eorg
HAM,نياز به Tape Drive
SPAN,درخواست سه عدد DVD (دو عدد 4GB و 1عدد GB) جهت رايت نرم افزارهاي زير:  1- Windows Server 2008 R2  2- Symantec Backup Exec 2010 V13  3- Symantec NetBackup 7
HAM,شبكه قطه مي‌باشد.  آيكن شبكه در Tray ويندوز نمايش داده نمي‌شود.
SPAN,درخواست 10 عدد سي دي و دو عدد ماژيك سي دي
HAM,ايراد در ويندوز
HAM,شبكه قطع و وصل مي‌شود
SPAN,ايراد در ماوس
SPAN,ايراد در ماوس خانم علي نژاد
HAM,ايراد در اجراي نرم افزار سيستم خ عباسي
HAM,ايراد در پروفايل
HAM,ايراد در رمز عبور Eorg
HAM,ايراد در Eorg
HAM,اشكال در دكمه پاور
HAM,ايراد در اينترانت خ زنگنه
HAM,ايراد در پرينت سيستم آقاي دشتي
HAM,اشكال در اسكنر
HAM,اشكال در پرينتر
HAM,ايراد در اينترانت
HAM,نياز به نصب Extera
HAM,نياز به نصب Extra خ زنگنه
HAM,نياز به نصب Extra جهت آقاي صرامي
HAM,ايراد در اجراي Eorg
HAM,نياز به نصب Finance
HAM,ايراد در اينترانت خ شيشه گر
HAM,اشكال در Extra
HAM,تصوير بطور كامل در مانيتور قرار نمي گيرد
SPAN,نياز به تونر 1320
HAM,بررسي دستگاه ساعت كارت
SPAN,نياز به تعويض تونر
HAM,ايراد در پرينتر خ اميني
HAM,ايرا در كيبورد
HAM,شبكه قطع مي‌باشد
HAM,اضافه شدن به گروه پرينت در اتوماسيون
HAM,نياز به اشتراك پرينتر
HAM,نياز به نصب پرينتر
HAM,نياز به فونت نستعليق جهت منشي
HAM,نياز به نصب اسكنر خ عبدالي
HAM,ايراد در Eorg
HAM,نياز به اشتراك پرينتر
HAM,نياز به يك دستگاه پرينتر 2014
HAM,"ايراد در IE7 , ايراد در EOrg"
HAM,مشكل در تاريخ سيستم
HAM,تغيير سمت و ساختار سازماني در EOrg
HAM,تغيير سمت و ساختار سازماني در EOrg
HAM,تغيير سمت و ساختار سازماني در EOrg
HAM,تغيير سمت و ساختار سازماني در EOrg
SPAN,نياز به يك عدد تونر 1320
HAM,نصب درايور پرينتر 2014
HAM,اشكال در photoshop (منشي)
HAM,ايراد در اسكنر خ علي نژاد
HAM,نياز به تعريف پرينتر تحت شبكه
HAM,ويندوز ايراد دارد
HAM,اشكال در Finance خ عبدالي
HAM,ايراد در تصوير مانيتور
HAM,بررسي دستگاه ساعت كارت
HAM,كپي اطلاعات اضافه كاري كاركنان
HAM,چاپ حضور و غياب كاركنان پيماني از دستگاه ساعت كارت
HAM,ايراد در IE7
SPAN,نياز به يكعدد پد ماوس
HAM,ايراد در پاور سيستم
HAM,نياز به نصب Scanner
HAM,تنظيم نمودن سيستم منشي اداره
SPAN,نياز به يكعدد پد ماوس
SPAN,نياز به يكعدد پد ماوس
HAM,ايراد در Office
HAM,ايراد در اسكنر
HAM,درخواست اضافه كاري همه نيروهاي كارگاه
HAM,نياز به نصب Finance
HAM,اشكال در اينترنت
SPAN,نياز به 10 عدد DVd
HAM,اشكال در finance و پرينتر چك زني
HAM,نياز به يكدستگاه پرينتر
HAM,ايراد در ويندوز
SPAN,نياز به دو عدد سي دي
HAM,ايراد در Eorg
HAM,ايراد در ويندوز
HAM,ايراد در Office منشي
HAM,ايراد در Office
HAM,اشكال در ويندوز
SPAN,نياز به تونر سامسونگ
HAM,شبكه قطع مي‌باشد (علامكت ضرب در قرمز بر روي آيكن شبكه  در Tray ويندوز)  كامپيوتر منشي رئيس اداره برآوردها (خانم دهقان)
SPAN,روغن لحيم كاري آلماني + پك باطري 7 عددي جهت دستگاه كارت ساعت كارگاه مركزي
SPAN,سيم چين شبكه 6 + سيم چين شبكه 8 + ست پيچ گوشتي شبكه + كاتر كابل شبكه
SPAN,كابل 5 متري شبكه 6 عدد + كابل 3 متري شبكه  + كابل 1 متري شبكه 5 عدد + سوكت rg45   60 عدد
SPAN,نياز به يك set  كامل سيستم يونيت + پرينتر سامسونگ
SPAN,كاور rj45  60 عدد
SPAN,كيسون  amp cat5  10 عدد
HAM,اشكال در شبكه منشي
HAM,نصب finance منشي
HAM,اشكال در اينترنت
HAM,نياز به يك عدد ماوس
HAM,نياز به يك عدد ماوس
HAM,اشكال در شبكه آقاي خزامي
HAM,اشكال در سيستم و اينترنت
HAM,ايجاد سمت در سيستم EOrg
HAM,نصب .Net 4 و برنامه جديد HSE خانم هاشمي نژاد
HAM,ايراد در OFfice منشي
HAM,ايراد در Finance  خ عبدالي
HAM,ايراد در پرينتر تحت شبكه
HAM,اشكال در شبكه(قطعي نود منشي)
HAM,انجام عمليات disck cleanup و نصب Office 2003 و aAdobe Acrobat reader 9 و ّflash player هاي IE و Opera و FireFox
HAM,ايراد در پرينتر
HAM,نياز به ست كامل سيستم يونيت
HAM,نصب درايور 2014
HAM,اشكال در EOrg
HAM,اشكال در اجراي Eorg
HAM,ايراد در اجراي Finance
HAM,اشكال در پرينتر دستگاه چك زني
HAM,نصب .Net 4 و برنامه جديد HSE
HAM,نصب Finance و Crystal Report منشي
SPAN,شبكه قطع مي‌باشد(علامت ضرب در بر روي آيكن شبكه در Tray ويندوز)  كامپيوتر خانم بلوكي
HAM,علامت ضربدر قرمز بر روي آيكن شبكه در Tray ويندوز
HAM,اشكال در نامه 5178
HAM,نصب پرينتر تحت شبكه آقاي طاهري
HAM,نياز به نصب پرينتر 2014
HAM,ايراد در چاپ درEorg
HAM,ايراد در پرينتر 1320
HAM,ايراد رد تنظيمات فارسي
SPAN,اشكال در شبكه (علامت ضربدر قرمز بر روي آيكن شبكه در Tray ويندوز)
HAM,شبكه قطع مي‌باشد (علامت ضربدر قرمز بر روي آيكن شبكه در Tray ويندوز)  (كامپيوتر منشي زاده اميدي)
HAM,اشكال در ويندوز منشي
SPAN,نياز به يك عدد تونر 1320
HAM,نصب درايور 1320
HAM,تغيير computer name و user name و انجام عمليات small office و نصب finance
HAM,اشكال در سيستم
SPAN,نياز به يك دستگاه اسكنر
HAM,اشكال در ثبت و صدور نامه 5268
HAM,اشكال در سيستم منشي
HAM,اشكال در finance
HAM,نياز به يك عدد تونر سامسونگ
SPAN,نياز به يك عدد تونر سامسونگ و يك عدد چيپست
HAM,اشكال در شبكه كارگاه مركزي اهواز
HAM,نصب finance
HAM,اشكال در  EOrg
HAM,اشكال در ويندوز منشي
HAM,اشكال در تنظيمات ويندوز و نياز به انجام  Disk Cleanup
HAM,اشكال در سيستم
HAM,نصب درايور اسكنر 3490
HAM,اشكال در Finance
HAM,اشكال در Font منشي
HAM,اشكال در شبكه تعميرات اساسي كارون
HAM,نصب ويندوز و نرم افزار هاي مربوطه منشي
HAM,اشكال در گروه شخصي  EOrg
HAM,اشكال در  Eorg
HAM,نياز به يك عدد تونر 3020
HAM,نصب finance
HAM,نصب finance منشي
HAM,نياز به انتقال اطالاعات منشي
HAM,نصب Eorg توربين (گچساران)
HAM,نصب Crystal Report و Report viewer (گچساران)
HAM,نصب Framework 3.5 & 4 (گچساران)
HAM,نصب OverHaul و  MOS
HAM,نصب finance و Crystal Report
SPAN,نياز به يك عدد تونر 1320
SPAN,نياز به يك عدد تونر 1320
HAM,نصب پرينتر تحت شبكه منشي براي آقاي قنواتي
HAM,نياز به نصب Virtual Stock
HAM,نياز به نصب Virtual Stock براي آقاي شكوهي
SPAN,نياز به مبدل Keyboard شكوهي
HAM,اشكال در ويندوز
HAM,نصب virtual stock آقاي مقدم
HAM,اشكال در EOrg
HAM,نياز به نصب نرم افزار
HAM,اشكال در اسكنر 3020
HAM,اشكال در Financeمنشي
HAM,اشكال در سيستم
HAM,نصب درايور 3490
HAM,نصب درايور 2015
HAM,اشكال در پرينت نامه 5265
HAM,اشكال در ارسال ضمائم نامه
HAM,انجام تغييرات سمت آقايان آتشي و حسيني
SPAN,نياز به يكعدد ماوس
SPAN,نياز به ماوس WireLess
HAM,نياز به يك دستگاه 3020 Hp
HAM,رفع اشكال از داكت و كابل كشي
HAM,جمع آوري كابل بلا استفاده تا سوئيچ دفتر ادهمي
HAM,رفع اشكال از داكت و نصب مجدد كابل
HAM,نياز به نصب فونت فارسي
HAM,اشكال در سيستم(ويروس)
HAM,اشكال در Office منشي
HAM,اضافه شدن به واحد چاپ در EOrg
HAM,اشكال در چاپ
HAM,اشكال در EOrg
HAM,نياز به يكدستگاه پرينتر سامسونگ
HAM,نياز به ويروس يابي سيستم و اشكال در Framework هاي سيستم منشي
SPAN,نياز به كاتريج رنگي 970CXi
HAM,نصب پرينتر سامسونگ
HAM,نصب كابل شبكه
HAM,اشكال در كابل شبكه
SPAN,نياز به نصب رول فكس پاناسونيك
HAM,اشكال در  سيستم
HAM,اضافه كردن پرينتر تحت شبكه منشي و آقاي حويزاوي
HAM,نصب نسخه جديد HSE و Crystal Report 2008 و ReportViewer   و Acrobar Reader 9
HAM,ايراد در اجراي Extra
HAM,ايرا در اجراي Finance
HAM,ايراد  در اجراي Finance منشي
SPAN,نياز به يكعدد كابل USB
HAM,ايراد در اسكنر و پرينتر
SPAN,سرويس و شارژ  8 عدد كاتريج HP49A   و  سرويس و شارژ  7 عدد كاتريج HP12A
HAM,اشكال در نامه 5708 سال 1388
HAM,ايراد در Extra
HAM,اشكال در ورود به Finance منشي
HAM,اشكال در EOrg منشي
HAM,نياز به انجام Resize partitions
HAM,انجام مراحل نصب ويندوز و نرم افزار هاي مربوطه
HAM,ايراد در Eorg
HAM,ايراد در wORD
SPAN,نياز به تونر 3020
HAM,اشكال در word خانم عليدادي
HAM,ويندوز بالا نمي آيد
SPAN,نياز به يكعدد كابل برق
HAM,ايراد در Scanner
SPAN,نياز به رايت اطلاعات
HAM,ايراد در اينترنت
HAM,به اشتراك گذاشتن پرينتر
HAM,امكان استفاده از پرينتر آقاي زيداني
HAM,معرفي همكاران در ليست پيش فرض
HAM,اشكال در Word
HAM,اصلاح نامه شماره  5469
HAM,اصلاح سمت در EOrg
HAM,نياز به نصب اسكنر
HAM,نياز به نصب پرينتر
HAM,ايراد در نام كاربري Eorg منشي
HAM,ايراد در اجراي Finance
HAM,نياز به نصب نرم افزار خ عليدادي
HAM,اشكال در ورود به Eorg منشي
HAM,نصب finance و Crystal Report
HAM,نياز به نصب نرم افزار Abaqus
HAM,ايراد در Finance خ يهمئي
SPAN,نياز به يكدستگاه پرينتر 2550
SPAN,نياز به اقلام ذيل:  تونر 49A                 سه عدد  تونر 53A                 سه عدد  تونر سامسونگ       2 عدد
HAM,نياز به تغيير پسورد آقاي خليل حميدي اصل
SPAN,نياز به 5 عدد سي دي جهت backup
SPAN,نياز به تبديل 2 به 3
HAM,ايراد در اجراي Office
HAM,اشكال در اسكنر 3770 منشي
HAM,اشكال در  EOrg منشي
HAM,نصب finance و Crystal Report
HAM,نصب Opera
HAM,اشكال در EOrg
HAM,اشكال در Explorer  و اينترانت ستاد
HAM,اشكال در پرينتر 2015
HAM,اشكال در اسكنر 3020
HAM,اشكال در ورود به سيستم خ عليدادي
HAM,اشكال در Eorg
HAM,پرينتر و اسكنر 30 20 خراب ميباشد  جهت تعمير به مركز شهر ارسال ميگردد
HAM,نصب Finance و Crystal Report
HAM,نصب Finance و Crystal Report  منشي
SPAN,نياز به مبدل PS2
HAM,نصب OverHaul و Crystal Report 2008
HAM,اشكال در اسكن ضمائم نامه
HAM,اشكال پرينتر در EOrg
HAM,مشكل در اينترنت و پرتال مناطق
HAM,ايراد در IE
HAM,نصب نرم افزار اورهال
HAM,ايراد در Display properties سيستم منشي
HAM,ايراد در Finance
HAM,نياز به نصب Finance
HAM,اضافه شدن به واحد چاپ
HAM,نياز به يك عدد كابل RGB و يك عدد كابل power
SPAN,نياز به يك عدد تونر سامسونگ
SPAN,نياز به تونر سامسونگ
HAM,ايراد در ويرايش نامه 5740
HAM,نصب OverHaul و Crystal Report و Report Viewer
HAM,نصب OverHaul و Crystal Report و Report Viewer
HAM,اضافه كردن پرينتر 2015 گلاب
HAM,انجام تنظيمات Internet Explorer خانم رحيمي
HAM,اشكال در سيستم و انجام دسترسي به درايوها  خ وهام
HAM,ايراد در Finance
HAM,نياز به نصب PhotoShop
HAM,نياز به نصب Extra
HAM,نياز به نصب Finance
HAM,نياز به اشتراك پرينتر تحت شبكه
HAM,ايراد در Eorg
HAM,ايراد در اجراي پرينتر تحت شبكه
SPAN,نياز به 4 عدد DVD و 3 عدد CD جهت Write نرم افزار
HAM,ايراد در شبكه
HAM,اشكال در شبكه
SPAN,نياز به يك عدد تونر 1320
HAM,نصب finance و crystal Report منشي
HAM,انتقال كامپيوتر به مكان ديگر
HAM,ايراد در تنظيمات اينترنت
HAM,ايراد در پورت ماوس
HAM,ايراد در DVD Rom
HAM,نصب Extra و Firefox و flashplayer
HAM,نصب پرينتر تحت شبكه 2550 منشي
HAM,نصب پرينتر تحت شبكه 2550
HAM,اشكال در ويندوز و user profile
SPAN,ايراد در صداي سيستم
HAM,ايراد در صداي سيستم
HAM,نياز به نصب Finance و Crystal Report
HAM,ايراد در Word2003
HAM,نصب IDM
HAM,ايراد در Finance
SPAN,نياز به تونر 1320
HAM,اشكال در ضمائم نامه
HAM,نياز به فونت نستعليق
SPAN,نياز به 2 عدد سي دي
HAM,لپ تاپ مشكل سخت افزاري دارد و روشن نمي شود- جهت تعمير به مركز شهر ارسال ميگردد
HAM,اشكال در سيستم منشي
HAM,اشكال در تنظيمات گرافيك سيستم
HAM,تغيير پسورد  EOrg منشي
SPAN,نياز به تونر زرد 2550
HAM,تحويل تجهيزات
HAM,نياز به تحويل تجهيزات
HAM,تحويل تجهيزات
HAM,"ايجاد سمت مسئول آمار،اطلاعات وبايگاني پرسنلي  در سازمان الكترونيك"
HAM,نياز به پرينتر تحت شبكه
HAM,اشكال در Excel
HAM,ايراد در شبكه
SPAN,ايراد در ماوس خ اصلاح
HAM,اشكال در ارسال پيام در Eorg
HAM,اشكال در ارسال نامه الكترونيك به ستاد
HAM,اصلاح سمت ستادي رئيس حسابداري كنترل اموال
HAM,نياز به نصب نرم افزار
HAM,اشكال در سيستم
HAM,اشكال در finance منشي
HAM,اشكال در تنظيمات سيستم
HAM,ايراد در Office
HAM,اشكال سخت افزاري سيستم منشي خ سالمي
HAM,ايراد در پاور سيستم
HAM,ايراد در اينترنت
HAM,اشكال در Word
SPAN,شارژ تونر به تعداد 6 عدد 36A  شارژ تونر به تعداد 3 عدد 53A  شارژ يونيت 2550  يكعدد و سامسونگ 5 عدد
HAM,ايراد در بروز رساني Finance
HAM,نصب finance و Crystal Report
HAM,نياز به جابجايي
HAM,نياز به جابجايي
HAM,ايراد در Office  منشي
HAM,ايراد در تنظيمات اينترنت
HAM,نياز به اشتراك پرينتر خ نريمي
HAM,اشكال در پرينتر 1320 منشي
SPAN,نياز به كابل USB
SPAN,نياز به 1عدد تونر 49 و 1عدد 53  نبار به 3 عدد تورن رنگي 2550
SPAN,نياز به يكعدد DVD
SPAN,نياز به يكعدد رول فكس كاربني
HAM,اشكال در تنظيمات سيستم و تغيير نام كاربري و computer name
HAM,تغيير computer name و نام كاربري كاربر
HAM,اشكال در Internet Explorer
HAM,اشكال در پرينتر تحت شبكه
SPAN,نياز به تونر 1320
HAM,اشكال در تنظيمات Eorg
SPAN,نياز به تعويض 6 عدد فوم رول و 9 عدد رول درام كاتريج چاپگر
HAM,ايراد در اجراي Finance
HAM,ايراد در پرينتر 1320
HAM,نياز به نصب فونت Iran Nastaliq
SPAN,تعويض يك عدد تونر 49A
HAM,به اشتراك گذاري پرينتر Brother
HAM,اضافه كردن پرينتر تحت شبكه Brother رئيس
SPAN,نياز به يك ست سيستم
HAM,اشكال در مشاهده ضمائم نامه
HAM,نصب كتابچه سولار و بررسي موس
HAM,رفع ايراد اينترنتي
HAM,ايراد در اكسل منشي
HAM,ايراد در پاك كردن اطلاعات در Eorg
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين سيستم غلامي
HAM,انجام تنظيمات Join نمودن دامين خ انتظام
HAM,انجام تنظيمات Join نمودن دامين آقاي منصوري
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين خ نوشاد
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين خ سالمي
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين خ دهقان
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين خ مرادي
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين آقاي نداف
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين خ حسام زاده
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين خ شيخ
HAM,ايراد در باطري Bios سيستم
HAM,اشكال در ثبت و صدور نامه
HAM,اشكال در پرينتر 2014 تحت شبكه منشي
HAM,نصب Office 2003
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين خ پيرزاد
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين - دخيل پور
HAM,ايراد در اجراي Finance
HAM,اشكال در ورود به سيستم
HAM,نصب finance و Finance و Crystal Report خ رحيمي
HAM,نصب finance و Finance و Crystal Report خ وهام
HAM,ايرا در پرينتر 1320
HAM,اشكال در ورود به سيستم خ نريمي
HAM,اشكال در پرينتر Brother خ عليدادي
HAM,نصب Flash Player خ علي نجات
SPAN,ايراد در شبكه نياز به كابل 5 متري
HAM,نياز به نصب اسكنر خ ابدالي
HAM,نياز به نصب پرينتر خ ابدالي
HAM,انجام تنظيمات Join نمودن دامين خ ابدالي
HAM,اشكال در ورود به Eorg
HAM,ايراد در پرينتر تحت شبكه
HAM,ايراد در پرينتر تحت شبكه
HAM,اشكال در كيبرد Layout
HAM,اشكال در ورود به Internet Explorer
HAM,جابجا نمودن سيستم و نصب برنامه انبار فرعي و توربين اورهال
HAM,ايراد در اينترنت
HAM,نصب نرم افزار هاي MOS و Finance
HAM,نصب نرم افزار هاي MOS و Finance (جهت سيستم خ زيداني)
HAM,ايراد در EOrg
HAM,نصب نرم افزار هاي MOS و Finance
HAM,نصب نرم افزار Finance
HAM,ايراد در پرينتر 2014
HAM,ايراد در پرينتر تحت شبكه
HAM,انجام تنظيمات Join نمودن دامين
HAM,اشكال در ورود به سيستم
HAM,نصب پرينتر 1320
HAM,طراحي فرم Excel
HAM,اسكن نمودن امضاء
HAM,اشكال در برنامه انبار فرعي و تنظيمات اينترنت
HAM,انجام تنظيمات Join نمودن دامين آقاي حلفي انبار
HAM,انجام تنظيمات Join نمودن دامين خ پورهوشياري
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين خ اميني
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,نياز به نصب KM Player  و Jet Audio
HAM,نياز به نصب پرينتر سامسونگ
HAM,نياز به پرينتر تحت شبكه
HAM,نياز به پرينتر تحت شبكه
HAM,اشكال در Language
HAM,ايراد در اجراي Finance
HAM,ايراد در شبكه خ ابدالي
HAM,نياز به نصب پرينتر روي سيستم آقاي منصوري
HAM,اشكال در پرينتر تحت شبكه منشي
HAM,اشكال در پرينتر تحت شبكه منشي
HAM,اشكال در صداي سيستم
HAM,اشكال در صداي سيستم
HAM,اشكال در چاپ
HAM,ايراد در تنظيمات اينترنت
HAM,نياز به نصب Fire Fox
HAM,نياز به پرينتر تحت شبكه
HAM,اشكال در روشن شدن سيستم
HAM,نياز به اشتراك پرينتر
HAM,ايراد در ورود به سيستم خ عباسي
HAM,ايراد در پرينتر تحت شبكه
SPAN,نياز به كابل شبكه
HAM,ايراد در اكانت اينترنت
HAM,تنظيمات مربوط به اينترنت و همچنين نصب برنامه فايرفكس
HAM,ايراد در ورود به ويندوز
HAM,ايراد در پرينتر تحت شبكه
HAM,نياز به اشتراك پرينتر تحت شبكه
HAM,اشكال در ورود به system
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين منشي
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين منشي
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين سيستم آقاي قنواتي
HAM,انجام تنظيمات Join نمودن دامين
SPAN,نياز به 2 عدد تونر 1320
HAM,ايراد در ورود به سيستم
HAM,ايراد در ورود به سيستم
HAM,نياز به پرينتر تحت شبكه
HAM,نياز به يكعدد ماوس
HAM,نياز به تحويل سيستم يونيت
SPAN,نياز به رايت اطلاعات بسيج
SPAN,نياز به 2 عدد ماوس
HAM,نصب مجدد ويندوز و نرم افزار هاي ضروري
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,اضافه كردن پرينتر 2015 تحت شبكه
HAM,اشكال در Eorg منشي
HAM,اشكال در  پرينتر منشي
HAM,اشكال در تنظيمات فارسي ساز سيستم
HAM,نصب finance و crystal Report
HAM,اشكال در finance منشي
HAM,اشكال در finance منشي
HAM,اشكال در نامه شماره 5941
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين خ ابويي
HAM,انجام تنظيمات Join نمودن دامين خ عليدادي
HAM,انجام تنظيمات Join نمودن دامين خ نريمي
HAM,انجام تنظيمات Join نمودن دامين خ صابري
HAM,انجام تنظيمات Join نمودن دامين خ نريمي
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين خ ممبيني
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين خ باغبان
HAM,انجام تنظيمات Join نمودن دامين آقاي حروبي
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين خ اطلاح
HAM,انجام تنظيمات Join نمودن دامين خ حيدري
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين خ دانشيان
HAM,انجام تنظيمات Join نمودن دامين خ فارسيان
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,ايجاد سمت جديد در EOrg
HAM,انتصاب سمت جديد در EOrg
SPAN,ايراد در ماوس
HAM,ايراد در پرينتر منشي
HAM,ايراد در پرينتر شكوهي
HAM,ايراد در پرينتر تحت شبكه
HAM,ايراد در پرينتر تحت شبكه غلامي
SPAN,نياز به يك عدد تونر 2015
SPAN,نياز به يك عدد تونر 3020
SPAN,نياز به يك عدد تونر 1320
HAM,اشكال در ارجاع نامه
HAM,نصب Finance و Crystal Report
HAM,اختصاص سمت رئيس بازاريابي و فروش در سازمان الكترونيك
HAM,اشكال در Eorg منشي
SPAN,نياز به رايت 1 عدد Cd
HAM,ايراد در سيستم منشي
SPAN,نياز به تونر 2014
HAM,تغيير پسورد منشي رئيس تعمييرات اساسي كارون
HAM,اشكال در EOrg
HAM,اشكال در اينترانت سيستم منشي
HAM,نياز به تحويل تجهيزات
HAM,ايراد در Finance منشي خ بهمني
SPAN,اشكال در چرخ دنده گيرنده كاغد تري پائين
HAM,اشكال در ورود به سازمان الكترونيك
SPAN,نياز به تونر 1320
HAM,ايراد سخت افزاري سيستم روشن نمي شود
HAM,نياز به يك دستگاه پرينتر سامسونگ
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين
HAM,ايراد در يك از پيامهاي سيستم خ حسيني
HAM,ايراد در ورود به EOrg خ زيداني
HAM,"ايراد در IE , موزيلا"
HAM,نصب finance
HAM,انجام تنظيمات Join نمودن دامين
HAM,انجام تنظيمات Join نمودن دامين منشي
HAM,انجام تنظيمات Join نمودن دامين - صرامي
HAM,اشكال در پرينتر تحت شبكه غلامي
HAM,ايراد در كيبورد
HAM,ايراد در اجراي Finance
SPAN,نياز به يكعدد دي وي دي 4g  و يكعدد دي وي دي 8g
HAM,ايرا در پرينتر تحت شبكه
HAM,نياز به پرينتر موقت
HAM,ايراد در پرينتر
SPAN,نياز به تونر سامسونگ
HAM,اشكال در فارسي ساز و تنظيمات ويندوز
HAM,اشكال در سيستم منشي
HAM,ايراد در Finance منشي خ حيدري
HAM,ايراد در Finnce منشي خ اصلاح
HAM,نصب درايور پرينتر سامسونگ 2850
HAM,نياز به نصب Finance
HAM,نياز به نصب Finance
HAM,شبكه قطع مي‌باشد
HAM,تعويض موس و كيبورد
HAM,تعويض موس
HAM,Finance اجرا نمي گردد
HAM,نام كاربري و كلمه عبور اشتباه مي باشد
SPAN,نياز به يك عدد تونر 3020
HAM,اشكال در باز كردن فايل هاي ضمائم
HAM,اشكال در Keyboard
SPAN,اشكال در كي برد
HAM,ايجاد پرينتر تحت شبكه داوودي
HAM,نصب Finance منشي
HAM,اشكال در ورود به ويندوز منشي
SPAN,نياز به يك عدد موس
HAM,اشكال در ورود به ويندوز
SPAN,نياز به شارژ 2 عدد كاتريج سامسونگ و شارژ 5 عدد كاتريج HP53A
HAM,اشكال در مانيتور
HAM,اضافه كردن پرينتر 2550 دفتر مدير عامل
HAM,اشكال در پرينتر 3020
HAM,اشكال در پرينتر samsung ML 2850 منشي
HAM,اضافه كردن  پرينتر samsung ML 2850 منشي
HAM,اشكال در سيستم منشي
HAM,تغيير نام كاربري در EOrg
SPAN,نياز به يك عدد تونر 53A
HAM,اشكال در Eorg
HAM,نصب finance منشي
SPAN,نياز به يك عدد تونر 2015
HAM,اشكال در EOrg
HAM,ايراد در اينترنت خ حسيني
HAM,ايراد در موس
HAM,اشكال در ورود به ويندوز
HAM,نياز به نصب ويندوز و نرم افزار هاي مربوطه
HAM,اشكال در  ثبت و صدور نامه منشي
HAM,اضافه كردن پرينتر تحت شبكه تركان
HAM,اشكال در ويندوز
HAM,كپي كردن Power Poiunt
HAM,اضافه كردن پرينتر تحت شبكه منشي براي قنواتي
